2026-03-30 11:58:09 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.1')}
2026-03-30 11:58:09 | DEBUG    | watchfiles.main | 8 changes detected: {(<Change.added: 1>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.3'), (<Change.added: 1>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log'), (<Change.deleted: 3>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.2'), (<Change.deleted: 3>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.3'), (<Change.deleted: 3>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.1'), (<Change.deleted: 3>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log'), (<Change.added: 1>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.1'), (<Change.added: 1>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log.2')}
2026-03-30 11:58:10 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:10 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:10 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:11 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:11 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:11 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:12 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:12 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:12 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:13 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:13 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:13 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:14 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:14 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:14 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:15 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:15 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:15 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:16 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:16 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:17 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:17 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:17 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:18 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:18 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:18 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:19 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:19 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:19 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:20 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:20 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:20 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:21 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:21 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:21 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:22 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:22 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:23 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:23 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:23 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:24 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:24 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:24 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:25 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:25 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:25 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:26 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:26 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:26 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:27 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:27 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:27 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:28 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:28 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:28 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:29 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
2026-03-30 11:58:29 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/fahad/programFiles/projects/ai-projects/ecommerse-support-agent/support-agent/logs/agent.log')}
